Phase			V			V_error
0.024919448421739	17.1231497584522	0.002259332903797
0.074764114163768	17.0606763285058	0.002491460753382
0.124967209568571	17.0081904761929	0.002855965398872
0.175170505094203	16.9992367149754	0.002634869082839
0.225015176302899	17.0691062801913	0.003245766895038
0.274857914926087	17.1818212560406	0.003572501890716
0.324704392817391	17.1359516908188	0.002024685742854
0.3770571419425		17.1495083333338	0.00399383039298
0.429074061957282	17.1420000000048	0.005098364831001
0.475033718617476	17.0776051779922	0.004385595220784
0.52487941588932	17.0313236245942	0.003298705670349
0.574963780678095	17.0448666666667	0.001490058839926
0.625287278229808	17.0723685897375	0.001411763410938
0.674567108084		17.126540000002		0.002992789819027
0.72505877434466	17.1816051779951	0.003497053939768
0.774900403382692	17.2119551282067	0.003041126136392
0.822435085797531	17.2397695473259	0.002586352172223
0.875030540492857	17.2719380952386	0.002453542686968
0.925233843166667	17.2448115942073	0.001792449809374
0.975078505636232	17.1107487922739	0.002377595836056
1.024919448421739	17.1231497584522	0.002259332903797
1.074764114163768	17.0606763285058	0.002491460753382
1.124967209568571	17.0081904761929	0.002855965398872
1.175170505094203	16.9992367149754	0.002634869082839
1.225015176302899	17.0691062801913	0.003245766895038
1.274857914926087	17.1818212560406	0.003572501890716
1.324704392817391	17.1359516908188	0.002024685742854
1.3770571419425		17.1495083333338	0.00399383039298
1.429074061957282	17.1420000000048	0.005098364831001
1.475033718617476	17.0776051779922	0.004385595220784
1.52487941588932	17.0313236245942	0.003298705670349
1.574963780678095	17.0448666666667	0.001490058839926
1.625287278229808	17.0723685897375	0.001411763410938
1.674567108084		17.126540000002		0.002992789819027
1.72505877434466	17.1816051779951	0.003497053939768
1.774900403382692	17.2119551282067	0.003041126136392
1.822435085797531	17.2397695473259	0.002586352172223
1.875030540492857	17.2719380952386	0.002453542686968
1.925233843166667	17.2448115942073	0.001792449809374
1.975078505636232	17.1107487922739	0.002377595836056
