km/s			Phase
-70.62221901100492 0.587756014734623
-69.89762946016833 0.6091209044083223
-68.21158690547867 0.6304857940820218
-65.59442867336344 0.6518506837557211
-62.09324585495742 0.6732155734294205
-57.77103598596873 0.6945804631031198
-52.705569518465026 0.7159453527768191
-46.987990480397926 0.7373102424505186
-40.721176501498924 0.7586751321242179
-34.01788771395409 0.7800400217979173
-26.99873783508629 0.8014049114716166
-19.790023938789865 0.822769801145316
-12.521453965108172 0.8441346908190154
-5.323812857362819 0.8654995804927148
1.6733906794693887 0.8868644701664141
8.344254456747972 0.9082293598401134
14.568748187335885 0.9295942495138128
20.234873216379853 0.9509591391875122
25.240677737202645 0.9723240288612116
29.496091232095182 0.9936889185349109
32.92454513051969 1.0150538082086102
35.464350523872504 1.0364186978823096
37.069808147288605 1.0577835875560089
37.712030656346215 1.0791484772297084
37.379462403269905 1.1005133669034077
36.07808736018716 1.121878256577107
33.83132144823041 1.1432431462508066
30.67959120983047 1.164608035924506
26.679606405240833 1.1859729255982052
21.903339621620958 1.2073378152719045
16.436731254790878 1.2287027049456039
10.378143165199795 1.2500675946193032
3.836588831809049 1.2714324842930025
-3.070228150888232 1.2927973739667018
-10.218031938966085 1.3141622636404013
-17.478210561062802 1.3355271533141007
-24.720130061251222 1.3568920429878002
-31.813485023913017 1.3782569326614995
-38.63064318711645 1.3996218223351988
-45.04894195736426 1.4209867120088981
-50.95289550402863 1.4423516016825975
-56.23627272074764 1.4637164913562968
-60.80400866457702 1.485081381029996
-64.57391507996115 1.5064462707036954
-67.47815922969735 1.527811160377395
-69.4644844239705 1.5491760500510943
-70.49715028621515 1.5705409397247938
-70.55757583740069 1.5919058293984931
-69.64467382758448 1.6132707190721924
-67.77487029903406 1.6346356087458918
-64.98180902891451 1.656000498419591
-61.31574616956789 1.6773653880932904
-56.84264597875164 1.69873027776699
-51.64299391055734 1.7200951674406892
-45.81034842331887 1.7414600571143886
-39.44965756214336 1.7628249467880879
-32.67537060615689 1.7841898364617872
-25.60937875800164 1.8055547261354867
-18.378821929203315 1.826919615809186
-11.11380108438913 1.8482845054828854
-3.945037306641275 1.8696493951565847
2.998480295074863 1.891014284830284
9.591815514699551 1.9123791745039835
15.71633305311321 1.9337440641776829
21.26183314859758 1.9551089538513822
26.12853442485681 1.9764738435250815
30.228869278788274 1.9978387331987808
33.48905950320521 2.0192036228724803
35.850443793991126 2.0405685125461797
37.27053325556565 2.061933402219879
37.72377591272378 2.0832982918935783
37.20201647282309 2.1046631815672776
35.71464306571876 2.1260280712409774
33.28841832112351 2.1473929609146767
29.966997822853116 2.168757850588376
25.81014460451472 2.1901227402620753
20.89265382038551 2.2114876299357746
15.303006940110055 2.232852519609474
9.141779682581042 2.2542174092831733
2.519832335390646 2.2755822989568726
-4.44368497817473 2.296947188630572
-11.623476192937154 2.318312078304271
-18.890353780884553 2.3396769679779705
-26.113563250156083 2.36104185765167
-33.16313583874522 2.382406747325369
-39.91222707039614 2.4037716369990685
-46.23939909455524 2.425136526672768
-52.03080574374254 2.4465014163464676
-57.18224099213585 2.467866306020167
-61.6010139570136 2.489231195693866
-65.20761670574879 2.5105960853675655
-67.93715485914657 2.531960975041265
-69.74051524997074 2.5533258647149646
-70.58524962672794 2.574690754388664
-70.45615850203822 2.596055644062363
-69.35556464028119 2.6174205337360625
-67.30327126359703 2.638785423409762
-64.33620572824972 2.660150313083461
-60.507755082761626 2.6815152027571605
-55.88680546326272 2.70288009243086
