2799.9243164063	2.363081E-016	2.363081
2802.7520878315	2.250087E-016	2.250087
2805.5798592568	2.7699E-016	2.7699
2808.407630682	3.034303E-016	3.034303
2811.2354021072	3.192782E-016	3.192782
2814.0631735325	2.037082E-016	2.037082
2816.8909449577	2.663861E-017	0.2663861
2819.718716383	-5.202876E-017	-0.5202876
2822.5464878082	-2.921395E-017	-0.2921395
2825.3742592335	5.083014E-016	5.083014
2828.2020306587	-9.353044E-016	-9.353044
2831.029802084	-8.596836E-016	-8.596836
2833.8575735092	-1.288645E-016	-1.288645
2836.6853449345	1.084986E-016	1.084986
2839.5131163597	9.180543E-017	0.9180543
2842.340887785	-2.194342E-016	-2.194342
2845.1686592102	-3.917524E-016	-3.917524
2847.9964306355	-7.106082E-016	-7.106082
2850.8242020607	-3.050862E-016	-3.050862
2853.651973486	-8.922358E-016	-8.922358
2856.4797449112	-3.598308E-016	-3.598308
2859.3075163364	2.472669E-016	2.472669
2862.1352877617	1.970253E-016	1.970253
2864.9630591869	6.833099E-017	0.6833099
2867.7908306122	-2.054217E-016	-2.054217
2870.6186020374	1.06677E-016	1.06677
2873.4463734627	-1.849795E-017	-0.1849795
2876.2741448879	-1.63573E-016	-1.63573
2879.1019163132	5.041647E-017	0.5041647
2881.9296877384	6.12018E-016	6.12018
2884.7574591637	-3.867015E-016	-3.867015
2887.5852305889	-1.279321E-017	-0.1279321
2890.4130020142	-1.481395E-016	-1.481395
2893.2407734394	-2.984664E-016	-2.984664
2896.0685448647	7.014236E-016	7.014236
2898.8963162899	-7.211136E-017	-0.7211136
2901.7240877152	-7.818493E-017	-0.7818493
2904.5518591404	-6.818376E-018	-0.06818376
2907.3796305657	4.87908E-017	0.487908
2910.2074019909	1.1966E-016	1.1966
2913.0351734161	-4.077903E-016	-4.077903
2915.8629448414	8.647902E-018	0.08647902
2918.6907162666	-3.430909E-016	-3.430909
2921.5184876919	2.178734E-016	2.178734
2924.3462591171	-2.084814E-017	-0.2084814
2927.1740305424	1.09735E-016	1.09735
2930.0018019676	-1.909011E-017	-0.1909011
2932.8295733929	2.231751E-016	2.231751
2935.6573448181	-4.466515E-017	-0.4466515
2938.4851162434	-4.187677E-017	-0.4187677
2941.3128876686	-1.210768E-016	-1.210768
2944.1406590939	-4.355571E-016	-4.355571
2946.9684305191	2.299332E-016	2.299332
2949.7962019444	-3.080881E-016	-3.080881
2952.6239733696	-2.655819E-016	-2.655819
2955.4517447949	-2.633895E-016	-2.633895
2958.2795162201	1.658412E-017	0.1658412
2961.1072876453	-5.644739E-016	-5.644739
2963.9350590706	-7.891533E-017	-0.7891533
2966.7628304958	3.383238E-016	3.383238
2969.5906019211	-2.139392E-016	-2.139392
2972.4183733463	2.452208E-016	2.452208
2975.2461447716	1.706813E-016	1.706813
2978.0739161968	-1.822482E-016	-1.822482
2980.9016876221	1.104942E-016	1.104942
2983.7294590473	2.156093E-017	0.2156093
2986.5572304726	-1.133882E-016	-1.133882
2989.3850018978	-4.837271E-017	-0.4837271
2992.2127733231	5.034008E-017	0.5034008
2995.0405447483	7.156449E-017	0.7156449
2997.8683161736	2.522313E-016	2.522313
3000.6960875988	3.001853E-018	0.03001853
3003.5238590241	-2.06609E-016	-2.06609
3006.3516304493	-3.591726E-016	-3.591726
3009.1794018746	7.987394E-017	0.7987394
3012.0071732998	7.162328E-017	0.7162328
3014.834944725	-4.919394E-017	-0.4919394
3017.6627161503	-5.905278E-017	-0.5905278
3020.4904875755	-1.907738E-016	-1.907738
3023.3182590008	2.338951E-017	0.2338951
3026.146030426	-7.237111E-017	-0.7237111
3028.9738018513	-1.510284E-016	-1.510284
3031.8015732765	1.005608E-016	1.005608
3034.6293447018	-1.778276E-016	-1.778276
3037.457116127	-7.408366E-017	-0.7408366
3040.2848875523	1.443185E-016	1.443185
3043.1126589775	-3.432288E-016	-3.432288
3045.9404304028	-2.940342E-017	-0.2940342
3048.768201828	4.847308E-017	0.4847308
3051.5959732533	-1.021094E-016	-1.021094
3054.4237446785	-1.934892E-016	-1.934892
3057.2515161038	6.784897E-017	0.6784897
3060.079287529	2.752703E-018	0.02752703
3062.9070589542	-2.712708E-017	-0.2712708
3065.7348303795	-1.284072E-016	-1.284072
3068.5626018047	-2.110308E-017	-0.2110308
3071.39037323	1.798523E-016	1.798523
3074.2181446552	-2.607005E-016	-2.607005
3077.0459160805	-1.23014E-017	-0.123014
3079.8736875057	7.920129E-017	0.7920129
3082.701458931	7.063096E-017	0.7063096
3085.5292303562	-2.899386E-017	-0.2899386
3088.3570017815	5.207762E-017	0.5207762
3091.1847732067	-6.531769E-017	-0.6531769
3094.012544632	-1.333986E-016	-1.333986
3096.8403160572	-6.456012E-017	-0.6456012
3099.6680874825	-8.212994E-017	-0.8212994
3102.4958589077	1.339203E-016	1.339203
3105.323630333	1.01951E-016	1.01951
3108.1514017582	-1.607421E-018	-0.01607421
3110.9791731834	2.626452E-017	0.2626452
3113.8069446087	3.642593E-017	0.3642593
3116.6347160339	5.626241E-017	0.5626241
3119.4624874592	1.129355E-016	1.129355
3122.2902588844	1.111402E-017	0.1111402
3125.1180303097	-3.040762E-017	-0.3040762
3127.9458017349	-2.578595E-018	-0.02578595
3130.7735731602	-3.128375E-017	-0.3128375
3133.6013445854	4.52048E-017	0.452048
3136.4291160107	6.296751E-017	0.6296751
3139.2568874359	-3.188711E-017	-0.3188711
3142.0846588612	7.824227E-017	0.7824227
3144.9124302864	4.508009E-017	0.4508009
3147.7402017117	-4.185666E-018	-0.04185666
